hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
3739,,,,,,81471,236930,,140.997917,-51.737222,6.08,,0.57,A7Iab,0.013,-0.002,,false
3740,,,,,,81502,250561,,140.864167,-60.3025,6.3,,1.48,K1-2II-III,-0.005,-0.004,,false
3741,,,,,,81567,136844,,141.592917,-1.463889,6.01,,1.32,K2IIIb,-0.001,-0.003,,false
3742,,,,,,81613,250563,,141.02375,-61.648889,5.99,,1.06,K0III,0.016,-0.051,,false
3743,,,,,,81688,42876,,142.166667,45.601389,5.41,,0.98,K0III-IV,-0.007,-0.128,,false
3744, 29    Hya,29,,,Hya,81728,136861,,141.810833,-9.223611,6.54,,0.05,A2V,-0.029,0.001,,false
3745,,,,,,81753,177461,4492,141.686667,-28.7875,6.1,,-0.1,B6Ve,-0.027,-0.001,0.005,false
3746,,,,,,81780,221167,,141.61875,-40.501944,6.2,,0.25,A7III,0.025,0.002,,false
3747,,,,,,81790,27271,,142.448333,55.745556,6.45,R,,F3V s,-0.132,-0.033,,false
3748, 30Alp Hya,30,Alp,,Hya,81797,136871,4496,141.896667,-8.658611,1.98,,1.44,K3II-III,-0.014,0.033,0.022,false
3749,,,,,,81799,177469,,141.826667,-22.343889,4.69,,1.14,K2.5III,0.18,-0.161,0.03,false
3750,,,,,,81809,136872,,141.945,-6.071111,5.38,,0.64,G2V,-0.224,-0.074,0.038,false
3751,,,,,,81817,1551,,144.271667,81.326389,4.29,,1.48,K3IIIa,-0.019,-0.014,0.017,false
3752,,,,,,81830,250575,,141.362917,-61.950278,5.77,,0.15,A4V,-0.129,0.061,,false
3753,,,,,,81848,236972,,141.575417,-53.379167,5.11,,-0.11,B6V,-0.008,0.0,,false
3754,  2Ome Leo,2,Ome,,Leo,81858,117717,,142.114583,9.056667,5.41,,0.6,F9V,0.055,-0.004,0.034,false
3755,  3    Leo,3,,,Leo,81873,117718,,142.121667,8.188333,5.71,,1.04,K0III,-0.027,-0.03,,false
3756,,,,,,81919,200392,,141.91,-35.007778,6.65,,0.2,A3,-0.028,-0.031,,false
3757, 23    UMa,23,,,UMa,81937,14908,4506,142.882083,63.061944,3.67,,0.33,F0IV,0.109,0.028,0.041,false
3758,,,,,,81980,136894,,142.259167,-1.256944,6.27,,0.27,F0Vn,-0.073,0.001,0.012,false
3759, 31Tau1Hya,31,Tau,1,Hya,81997,136895,,142.287083,-2.768889,4.6,,0.46,F6V,0.13,-0.015,0.072,false
3760,,,,,,82043,136899,,142.352083,-2.205278,6.14,,0.22,F0III,-0.046,-0.003,,false
3761,,,,,,82068,250583,,141.684167,-64.929722,6.05,,0.15,A3Vn,-0.056,0.063,,false
3762,,,,,,82074,136900,,142.385,-4.247222,6.26,,0.84,G6IV,-0.029,-0.08,,false
3763,,,,,,82077,177521,,142.3025,-20.748611,5.66,,1.6,M1III,-0.017,0.022,,false
3764,  7    LMi,7,,,LMi,82087,61529,,142.68,33.655556,5.85,,1.05,gG8,-0.02,-0.049,,false
3765,   Eps Ant,,Eps,,Ant,82150,200416,,142.31125,-35.951389,4.51,,1.44,K3IIIa,-0.022,0.001,0.005,false
3766,,,,,,82165,200419,,142.317917,-38.403889,6.19,,0.22,A7Vn,-0.085,-0.013,,false
3767,,,,,,82180,177541,,142.457917,-23.345278,6.24,,1.57,K0,-0.002,-0.003,,false
3768, 22    UMa,22,,,UMa,82189,6898,Var,143.723333,72.205556,5.72,,0.48,F7V,0.075,-0.077,,false
3769,  8    LMi,8,,,LMi,82198,61540,4510,142.885,35.103056,5.37,,1.53,M1IIIab,-0.056,-0.102,,false
3770,,,,,,82205,177546,,142.477083,-26.589722,5.48,,1.36,K3III,-0.022,0.002,,false
3771, 24    UMa,24,,,UMa,82210,6897,DK UMa,143.620417,69.830278,4.56,,0.77,G4III-IV,-0.063,0.077,0.042,false
3772,,,,,,82232,155246,,142.594167,-15.577222,5.85,,1.2,gK3,-0.066,-0.063,,false
3773,  4Lam Leo,4,Lam,,Leo,82308,80885,4514,142.93,22.968056,4.31,,1.54,K5III,-0.021,-0.033,0.02,false
3774,,,,,,82327,6900,,144.028333,74.317778,6.46,,-0.1,B9V,-0.016,-0.07,,false
3775, 25The UMa,25,The,,UMa,82328,27289,4519,143.214167,51.677222,3.17,,0.46,F6IV,-0.954,-0.531,0.052,false
3776,,,,,,82347,250590,,142.195833,-62.273056,5.92,,1.1,K1III,-0.076,0.031,,false
3777,,,,,,82350,256623,,141.776667,-71.602222,5.47,,1.08,K2III,-0.102,0.075,0.036,false
3778,,,,,,82380,42914,,143.28,49.438611,6.76,,,A4V,-0.024,0.009,,false
3779,  6    Leo,6,,,Leo,82381,117751,,142.99,9.715833,5.07,,1.37,K2.5IIIbFe-0.5,-0.003,-0.013,,false
